No.,Abies,Acanthaceae,Acer,Actinidia,Aesculus,Aizoaceae,Alangium,Alnus,Amaryllidaceae,Anacardiaceae (other),Annonaceae,Apiaceae,Apocynaceae (other),Aquifoliaceae,Araceae,Araliaceae,Artemisia,Artocarpus,Asclepiadaceae,Asteraceae (non-Artemisia),Balsaminaceae,Berberidaceae,Betula,Bignoniaceae,Bombacaceae,Boraginaceae,Brassicaceae,Broussonetia,Buxaceae,Buxus,Cactaceae,Calligonum,Campanulaceae,Canarium,Cannabis,Capparidaceae,Caprifoliaceae,Carpinus,Carya,Caryophyllaceae,Castanea,Castanopsis,Casuarina,Cathaya,Cedrus,Celastraceae,Celtis,Cerealia+large Poaceae,Chenopodiaceae,Chloranthus,Clethra,Combretaceae,Commelinaceae,Convolvulaceae,Cornaceae,Corylus,Cotinus,Crassulaceae,Crypteronia,Cucurbitaceae,Cupressaceae (other),Cycas,Cyclobalanopsis,Cyclocarya,Cyperaceae,Dacrydium,Daphniphyllum,Diospyros,Dipsacaceae,Dipterocarpaceae,Droseraceae,Elaeagnaceae (other),Elaeagnus,Elaeocarpaceae,Empetrum,Engelhardtia,Ephedra,Ericaceae,Eucommiaceae,Euphorbiaceae (tropical),Euphorbiaceae (unclear),Euptelea,Fabaceae (herb),Fabaceae (shrub),Fabaceae (tree),Fabaceae (unclear),Fagus,Ficus,Flacourtiaceae,Garcinia,Gentianaceae,Geraniaceae,Gesneriaceae,Ginkgo,Guttiferae,Hainania,Haloragidaceae,Hamamelidaceae,Hippophae,Humulus,Hydrangea,Icacinaceae,Iridaceae,Juglans,Juncaceae,Juniperus,Keteleeria,Koenigia,Lamiaceae,Lardizabalaceae,Larix,Lauraceae,Liliaceae,Linaceae,Liquidambar,Lithocarpus,Lobeliaceae,Loranthaceae,Lythraceae,Magnoliaceae,Malvaceae,Melastomataceae,Meliaceae,Menispermaceae,Microcos,Monotropa,Morus,Myrica,Myricaria,Myristicaceae,Myrsinaceae,Myrtaceae,Nitraria,Nyctaginaceae,Nyssa,Oenotheraceae,Olacaceae,Oleaceae (temperate),Oleaceae (tropical/subtropical),Oleaceae (unclear),Orobanche,Ostrya,Ostryopsis,Oxalidaceae,Palmae,Pandanaceae,Papaveraceae,Peganum,Pentaphylacaceae,Picea,Pinus,Piperaceae,Pistacia,Plantago,Platanus,Platea,Platycarya,Plumbaginaceae,Poaceae (wildgrass),Podocarpaceae,Polemoniaceae,Polygalaceae,Polygonaceae (other),Polygonum,Populus,Primulaceae,Proteaceae,Pseudolarix,Pterocarya,Pteroceltis,Pyrola,Quercus (deciduous),Quercus (evergreen),Quercus (unclear),Ranunculaceae (other),Reaumuria,Reseda,Rhamnaceae,Rheum,Rhizophoraceae,Rhoiptelea,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Rutaceae,Sabiaceae,Sabina,Salix,Samydaceae,Sapindaceae,Sapotaceae,Saururaceae,Saxifragaceae (herb),Saxifragaceae (shrub),Saxifragaceae (unclear),Schisandra,Scrophulariaceae,Sesamum,Simaroubaceae,Solanaceae,Sterculiaceae,Sterculiaceae?,Styracaceae,Symplocos,Tamaricaceae,Tamarix,Taxaceae,Taxodiaceae,Thalictrum,Theaceae,Thymelaeaceae,Tilia,Trema,Tristellateia,Trochodendron,Tropaeolaceae,Tsuga,Ulmaceae (other),Ulmus,Urtica,Urticaceae (non-Urtica),Valerianaceae,Verbenaceae,Violaceae,Vitaceae,Zelkova,Zygophyllaceae (other) ,Zygophyllum
1947,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,49.01960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.64705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,5.050505051,0,0,2.02020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02020202,0,0,0,0,0,0,0,0,46.46464646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.13131313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,6.382978723,0,0,6.382978723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.510638298,0,0,0,0,0,0,0,0,26.59574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,12.37113402,0,0,10.30927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24742268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88659794,0,0,0,0,0,0,0,0,0,0,0,0,2.06185567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.546391753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,0,0,0,0,0,0,0,1.546391753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85393258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.16853933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.97752809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,7.90960452,0,0,13.55932203,0,0,5.649717514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.79661017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.259887006,0,0,0,0,0,0,0,1.129943503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129943503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995024876,0,0,0,89.55223881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497512438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995024876,0,0,0,0,0,0,0,0.497512438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995024876,1.492537313,0,0,0,0,0,0,0,0,1.990049751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.990049751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.504504505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.75675676,0,0,0,0,0,0,0,0,0,0,0,3.603603604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.009009009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11711712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,48.23529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.58823529,0,0,0,0,0,0,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
