No.,Site name,long,lat,Elev. (m),Tann,Mtco,Mtwa,GDD5,GDD0,Pann,Drought,MI,Sedtype
646,Hutuo River 2,115.775,38.235,18,12.52416667,-4,26.5,3413.4,4762.5,504.34,0.41,0.516,1
647,Hutuo River 3,115.775,38.235,18,12.52416667,-4,26.5,3413.4,4762.5,504.34,0.41,0.516,4
648,Inner Mongolia 01,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
649,Inner Mongolia 02,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
650,Inner Mongolia 03,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
651,Inner Mongolia 04,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
652,Inner Mongolia 05,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
653,Inner Mongolia 06,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
654,Inner Mongolia 07,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
655,Inner Mongolia 08,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
656,Inner Mongolia 09,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
657,Inner Mongolia 10,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
658,Inner Mongolia 11,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
659,Inner Mongolia 12,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
660,Inner Mongolia 13,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
661,Inner Mongolia 14,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
662,Inner Mongolia 15,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
663,Inner Mongolia 16,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
664,Inner Mongolia 17,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
665,Inner Mongolia 18,117.005,43.005,1200,-0.216666667,-22.5,17.9,1308.9,2214.2,397.07,0.341,0.559,4
666,Inner Mongolia C01,111.605,41.645,1000,3.5475,-14.8,20,1689.7,2677.7,292.58,0.553,0.358,4
667,Inner Mongolia C02,112.305,42.205,1000,4.14,-14.7,21.2,1866.1,2871.7,240.55,0.624,0.288,4
668,Inner Mongolia C03,112.405,42.305,1000,4.385833333,-14.7,21.6,1930.9,2944.5,229.54,0.64,0.273,4
669,Inner Mongolia C04,112.605,42.665,1000,4.766666667,-15.1,22.6,2081.7,3109.6,199.65,0.68,0.234,4
670,Inner Mongolia C05,112.615,42.845,1000,4.601666667,-15.7,22.8,2087.3,3110.8,191.08,0.689,0.224,4
671,Inner Mongolia C06,113.405,43.725,1000,3.6675,-17.9,22.6,2026.9,3024.2,178.02,0.696,0.215,4
672,Inner Mongolia C07,113.905,43.865,1000,2.178333333,-19.8,21.3,1786.6,2742.7,203.38,0.65,0.257,4
673,Inner Mongolia C08,115.205,43.925,1000,1.023333333,-21,20.1,1590.3,2517.2,260.59,0.557,0.346,4
674,Inner Mongolia C09,116.205,43.875,1000,1.6575,-19.9,20.3,1642.6,2585.3,300.44,0.503,0.4,4
675,Inner Mongolia C10,116.445,43.845,1000,0.764166667,-21.3,19.5,1508.5,2430.3,322.64,0.459,0.442,4
676,Inner Mongolia C11,116.605,43.665,1000,0.390833333,-22.4,19.2,1471.2,2390.1,337.71,0.435,0.466,4
677,Inner Mongolia C12,116.615,43.675,1000,0.334166667,-22.4,19.1,1461.8,2379.1,338.84,0.432,0.469,4
678,Inner Mongolia C13,116.015,43.305,1000,0.765833333,-20.9,19.1,1464.1,2388.1,317.21,0.473,0.429,4
679,Inner Mongolia C14,116.005,43.185,1000,0.710833333,-20.9,18.9,1443.8,2367.3,320.77,0.468,0.434,4
680,Inner Mongolia C15,115.705,43.445,1000,0.599166667,-20.9,19,1441.3,2356.9,303.44,0.491,0.411,4
681,Inner Mongolia DS01,110.955,42.275,1179,4.91,-14.5,22.3,2041.5,3069.8,212.97,0.667,0.248,4
682,Inner Mongolia DS02,111.955,42.655,1003,4.3225,-15.7,22.2,1991.7,3003,201.69,0.675,0.238,4
683,Inner Mongolia DS03,110.755,42.745,968,5.8875,-14,23.8,2284,3340.6,169.2,0.727,0.19,4
684,Inner Mongolia DS04,110.565,42.745,1024,5.351666667,-14.2,23.1,2155.9,3193.4,174.29,0.717,0.199,4
685,Inner Mongolia DS05,110.465,42.665,1053,5.544166667,-13.8,23.2,2180.9,3224.6,175.16,0.718,0.199,4
686,Inner Mongolia DS06,110.805,42.925,1031,5.4975,-14.7,23.6,2229.1,3272.1,164.53,0.73,0.187,4
687,Inner Mongolia DS07,111.205,43.155,1160,4.068333333,-16.6,22.5,1999.5,2998.7,171.21,0.711,0.202,4
688,Inner Mongolia DS08,111.365,43.155,1053,4.589166667,-16.3,23.1,2117.7,3134.5,164.66,0.723,0.191,4
689,Inner Mongolia DS09,111.465,43.255,1057,4.2825,-16.9,22.9,2078.9,3087,163.1,0.723,0.191,4
690,Inner Mongolia DS10,111.585,43.355,965,4.708333333,-16.8,23.6,2193,3215.2,152.71,0.738,0.177,4
691,Inner Mongolia DS11,112.075,43.525,984,4.22,-17.7,23.3,2141.2,3152.4,151.65,0.735,0.178,4
692,Inner Mongolia DS12,111.825,43.195,1057,4.3125,-16.9,23,2093.2,3104.6,166.65,0.719,0.195,4
693,Inner Mongolia DS13,111.855,42.915,1124,4.455,-16.2,22.8,2069,3084.4,182.01,0.701,0.213,4
694,Inner Mongolia DS14,112.155,42.805,1160,4.436666667,-15.9,22.6,2046.5,3062.7,191.36,0.689,0.225,4
695,Inner Mongolia DS15,112.435,42.755,1099,4.86,-15.4,22.9,2123.7,3154.3,191.34,0.691,0.223,4
696,Inner Mongolia DS16,112.455,43.065,1085,4.388333333,-16.5,22.9,2088.7,3105.8,179.27,0.703,0.211,4
697,Inner Mongolia DS17,112.345,43.235,1022,4.415833333,-16.8,23.1,2127.9,3145.6,168.08,0.717,0.197,4
698,Inner Mongolia DS18,112.165,43.345,1033,4.274166667,-17.3,23.2,2120.4,3133.2,161.46,0.724,0.19,4
699,Inner Mongolia MS01,116.185,42.355,1291,1.743333333,-18.4,18.8,1492.7,2443.9,364.94,0.425,0.48,4
700,Inner Mongolia MS02,116.335,42.265,1450,1.006666667,-18.6,17.8,1328,2251.2,394.95,0.368,0.534,4
701,Inner Mongolia MS03,116.455,42.295,1281,1.445833333,-18.4,18.4,1420.7,2359.4,389.78,0.383,0.521,4
702,Inner Mongolia MS04,116.625,42.245,1279,1.643333333,-18.6,18.7,1473.9,2421.6,399.76,0.372,0.532,4
703,Inner Mongolia MS05,116.695,42.185,1272,1.385,-18.9,18.4,1426.1,2366.5,414.29,0.347,0.557,4
704,Inner Mongolia MS06,116.695,42.185,1272,1.385,-18.9,18.4,1426.1,2366.5,414.29,0.347,0.557,4
705,Inner Mongolia MS07,116.895,42.145,1300,0.969166667,-19.8,18.1,1380.2,2312.2,437.41,0.308,0.596,4
706,Inner Mongolia MS08,116.895,42.145,1300,0.969166667,-19.8,18.1,1380.2,2312.2,437.41,0.308,0.596,4
707,Inner Mongolia MS09,116.985,42.165,1262,1.0475,-20.1,18.3,1413.1,2350.2,438.74,0.308,0.596,4
708,Inner Mongolia MS10,116.985,42.165,1262,1.0475,-20.1,18.3,1413.1,2350.2,438.74,0.308,0.596,4
709,Inner Mongolia MS11,117.075,42.255,1336,0.415833333,-21,17.8,1326.2,2245.6,447.98,0.317,0.621,4
710,Inner Mongolia MS12,117.285,42.505,1565,-1.75,-22.3,15.3,936.4,1770.8,484.25,0.221,0.727,4
711,Inner Mongolia MS13,117.285,42.505,1565,-1.75,-22.3,15.3,936.4,1770.8,484.25,0.221,0.727,4
712,Inner Mongolia MS15,116.415,42.165,1295,1.885,-17.7,18.6,1470.5,2421.8,391.77,0.387,0.517,4
713,Inner Mongolia MS16,116.455,42.085,1320,1.715,-17.7,18.4,1427.7,2373.2,405.25,0.365,0.539,4
714,Inner Mongolia MS17,116.165,41.955,1443,1.385,-18.4,17.9,1372.5,2311.7,405.45,0.361,0.543,4
715,Inner Mongolia MS18,116.165,41.955,1443,1.385,-18.4,17.9,1372.5,2311.7,405.45,0.361,0.543,4
716,Inner Mongolia MS19,116.085,41.825,1489,1.3775,-18.4,17.8,1364.2,2304.7,413.46,0.35,0.554,4
717,Inner Mongolia MS20,116.115,41.705,1518,1.3325,-18.2,17.6,1334,2271.6,429.93,0.324,0.579,4
718,Inner Mongolia TS01,115.955,42.675,1311,1.175833333,-19.7,18.7,1451.8,2389.2,336.95,0.455,0.448,4
719,Inner Mongolia TS02,116.115,42.615,1374,0.773333333,-19.9,18.2,1366.6,2289.7,357.08,0.42,0.482,4
720,Inner Mongolia TS03,116.115,42.615,1374,0.773333333,-19.9,18.2,1366.6,2289.7,357.08,0.42,0.482,4
721,Inner Mongolia TS04,116.075,42.375,1310,1.484166667,-18.7,18.6,1451.9,2395.9,362.5,0.425,0.479,4
722,Inner Mongolia TS05,116.095,42.515,1441,0.345,-20,17.5,1267.5,2173.9,373.33,0.39,0.511,4
723,Inner Mongolia TS06,116.205,42.375,1314,1.703333333,-18.5,18.8,1488.6,2438.5,364.91,0.424,0.48,4
724,Inner Mongolia TS07,116.205,42.375,1314,1.703333333,-18.5,18.8,1488.6,2438.5,364.91,0.424,0.48,4
725,Inner Mongolia TS08,116.015,41.745,1462,1.5625,-18.2,17.9,1389,2335.4,416.55,0.349,0.556,4
726,Inner Mongolia TS09,115.945,41.755,1452,1.736666667,-18,18.2,1424.8,2377.4,410.03,0.361,0.543,4
727,Inner Mongolia TS10,115.805,41.695,1449,1.635,-18,18,1394.6,2342.6,415.3,0.352,0.552,4
728,Inner Mongolia TS11,115.335,41.465,1479,2.161666667,-17,18.2,1444,2404.7,418.76,0.356,0.55,4
729,Inner Mongolia TS12,115.315,41.515,1447,2.095,-17.1,18.1,1437.5,2396,413.81,0.361,0.544,4
730,Inner Mongolia TS13,115.205,41.615,1405,2.5575,-16.7,18.8,1537.3,2510.8,390.99,0.4,0.506,4
731,Inner Mongolia TS14,114.935,41.385,1378,3.1,-15.9,18.9,1581.4,2568.2,398.12,0.397,0.51,4
732,Inner Mongolia TS15,114.575,41.325,1364,3.4425,-15.2,19.1,1612.8,2607.3,386.52,0.416,0.491,4
733,Inner Mongolia TS16,114.385,41.295,1339,3.538333333,-14.9,19.2,1627.8,2625.5,381.85,0.423,0.484,4
734,Inner Mongolia TS17,114.445,41.315,1344,3.5975,-14.9,19.3,1642.9,2642.6,380.46,0.426,0.481,4
735,Inner Mongolia TS18,114.405,41.455,1367,3.125833333,-15.6,19,1584.8,2569,372.71,0.431,0.476,4
736,Inner Mongolia TS19,114.585,41.605,1427,2.705,-16.6,18.9,1553.1,2526.4,368.16,0.433,0.473,4
737,Inner Mongolia TS20,115.035,43.575,1066,1.640833333,-21,20.8,1724.7,2677,250.58,0.583,0.323,4
738,Inner Mongolia TS21,114.745,43.745,1137,1.470833333,-21.5,20.9,1727.4,2674.6,235.69,0.602,0.304,4
739,Inner Mongolia TS22,114.835,43.935,1157,1.24,-21.5,20.6,1674.5,2611.1,241.02,0.589,0.315,4
740,Inner Mongolia TS23,114.695,43.945,1128,1.360833333,-21.4,20.8,1704.5,2645,232.85,0.603,0.302,4
741,Inner Mongolia TS24,114.685,43.895,1011,1.3875,-21.5,20.9,1711.3,2653.6,232.6,0.604,0.301,4
742,Inner Mongolia TS25,113.635,43.915,1035,3.138333333,-18.5,22.2,1943.5,2924.4,184.28,0.683,0.227,4
743,Inner Mongolia TS26,113.635,43.915,1035,3.138333333,-18.5,22.2,1943.5,2924.4,184.28,0.683,0.227,4
744,Inner Mongolia TS27,113.625,43.815,1082,3.208333333,-18.4,22.2,1949.4,2932.6,185.44,0.682,0.228,4
745,Inner Mongolia TS28,113.395,43.635,1043,3.711666667,-17.8,22.6,2029.1,3028,180.14,0.694,0.218,4
746,Inner Mongolia TS29,113.145,43.465,1048,3.9175,-17.4,22.7,2049.1,3054.2,178.81,0.698,0.214,4
747,Inner Mongolia TS30,113.005,43.255,1038,4.445833333,-16.7,23.1,2129.1,3149.8,178.41,0.703,0.211,4
748,Inner Mongolia TS32,112.605,42.595,1163,4.699166667,-15,22.4,2050.8,3076,205.06,0.673,0.241,4
749,Inner Mongolia TS33,112.575,42.855,1112,4.585833333,-15.8,22.8,2086.7,3109.6,190.23,0.69,0.223,4
750,Inner Mongolia TS34,112.725,42.895,1117,4.545833333,-15.9,22.8,2084.9,3107,190.47,0.689,0.224,4
751,Inner Mongolia TS35,113.705,43.785,1161,2.6925,-18.9,21.6,1852.1,2820.6,194.37,0.667,0.242,4
752,Inner Mongolia TS36,113.825,43.695,1148,2.5975,-19.3,21.6,1850.2,2818.8,199.7,0.66,0.249,4
753,Inner Mongolia TS37,114.175,43.515,1094,2.39,-20.5,21.8,1879.1,2851.7,208.83,0.649,0.26,4
754,Inner Mongolia TS38,114.325,43.275,1066,2.259166667,-20.8,21.6,1858.9,2833.1,220.25,0.635,0.274,4
755,Inner Mongolia TS39,114.455,43.175,1072,2.503333333,-20.5,21.7,1897.8,2879.7,226.51,0.629,0.28,4
756,Inner Mongolia TS40,114.475,43.025,1113,2.500833333,-20.1,21.4,1861.5,2842.9,238.55,0.613,0.296,4
757,Inner Mongolia TS41,114.335,42.965,1072,2.849166667,-19.6,21.7,1909.4,2899.2,234.23,0.621,0.288,4
758,Inner Mongolia TS42,114.385,42.935,1080,2.773333333,-19.6,21.6,1889.4,2877.3,239,0.614,0.295,4
759,Inner Mongolia TS43,114.535,42.835,1146,2.479166667,-19.6,21,1806.5,2786.1,256.76,0.587,0.321,4
760,Inner Mongolia TS44,114.655,42.735,1159,2.4625,-19.3,20.8,1773.4,2751.8,270.48,0.568,0.34,4
761,Inner Mongolia TS45,115.125,42.325,1396,1.840833333,-18.3,19,1522.1,2477.1,340.74,0.461,0.444,4
762,Inner Mongolia TS46,115.215,42.355,1334,1.865833333,-18.4,19.1,1531.1,2487.6,338.23,0.465,0.44,4
763,Inner Mongolia TS50,115.665,42.375,1363,1.145,-19.1,18.2,1395.3,2329.8,355.59,0.43,0.474,4
764,Inner Mongolia TS51,115.555,42.465,1293,1.894166667,-18.6,19.2,1554.7,2513.9,331.43,0.475,0.431,4
765,Inner Mongolia TS52,115.425,42.575,1279,1.994166667,-18.8,19.6,1598.3,2561,317.64,0.495,0.411,4
766,Inner Mongolia TS53,115.165,42.615,1265,2.006666667,-19,19.8,1620.4,2583.8,308.8,0.508,0.398,4
767,Inner Mongolia TS54,114.925,42.655,1186,2.3925,-19,20.4,1722.8,2698.1,290.23,0.54,0.368,4
768,Inner Mongolia TS55,114.805,42.645,1148,2.5775,-18.9,20.6,1765,2746,283.1,0.552,0.356,4
769,Inner Mongolia TS56,114.805,42.515,1207,2.4425,-18.6,20.2,1703.9,2679.4,298.17,0.529,0.378,4
770,Inner Mongolia TS57,114.875,42.285,1306,2.361666667,-18,19.7,1629.2,2599.9,325.73,0.49,0.417,4
771,Inner Mongolia TS58,114.685,42.395,1249,2.688333333,-18.1,20.3,1728.8,2710.4,299.63,0.53,0.378,4
772,Inner Mongolia TS59,114.475,42.435,1285,2.5175,-18.3,20.2,1703.9,2679.5,290.37,0.54,0.368,4
773,Inner Mongolia TS60,114.245,42.545,1138,3.0575,-18,21,1828.5,2819.8,264.52,0.581,0.328,4
774,Inner Mongolia TS62,114.035,42.475,1190,3.336666667,-17.3,21.1,1845.5,2842.2,261.73,0.586,0.324,4
775,Inner Mongolia TS63,113.985,42.405,1240,3.411666667,-16.9,21,1835.4,2833.1,265.9,0.58,0.329,4
776,Inner Mongolia TS64,113.925,42.325,1311,3.093333333,-16.8,20.4,1742.4,2729,277.35,0.561,0.347,4
777,Inner Mongolia TS65,114.005,42.245,1300,3.255,-16.5,20.5,1757.2,2748.3,283.83,0.554,0.355,4
778,Inner Mongolia TS66,113.865,42.115,1461,2.731666667,-16.2,19.5,1601.9,2572.8,303.39,0.52,0.387,4
779,Inner Mongolia TS68,114.565,42.135,1345,2.338333333,-17.8,19.5,1603.9,2571.6,323.26,0.492,0.414,4
780,Inner Mongolia TS69,114.565,42.065,1416,2.070833333,-17.9,19.1,1538.5,2497,333.95,0.473,0.432,4
781,Inner Mongolia TS70,114.505,41.935,1490,1.8025,-17.8,18.6,1458.4,2406,348.32,0.449,0.456,4
782,Inner Mongolia TS71,114.505,41.935,1490,1.8025,-17.8,18.6,1458.4,2406,348.32,0.449,0.456,4
783,Inner Mongolia TS72,114.685,41.835,1461,1.871666667,-17.8,18.5,1460.3,2410.9,362.21,0.431,0.474,4
784,Inner Mongolia TS73,114.685,41.835,1461,1.871666667,-17.8,18.5,1460.3,2410.9,362.21,0.431,0.474,4
785,Inner Mongolia TS74,114.915,41.845,1484,1.954166667,-17.6,18.5,1466.4,2420.2,369.84,0.421,0.484,4
786,Inner Mongolia TS75,114.915,41.845,1484,1.954166667,-17.6,18.5,1466.4,2420.2,369.84,0.421,0.484,4
787,Inner Mongolia TS76,115.045,41.885,1466,1.785833333,-17.6,18.3,1433.7,2382.3,374.6,0.411,0.493,4
788,Inner Mongolia TS77,115.045,41.885,1466,1.785833333,-17.6,18.3,1433.7,2382.3,374.6,0.411,0.493,4
789,Inner Mongolia TS78,115.625,42.245,1310,1.924166667,-18.2,18.9,1522.5,2481.6,352.22,0.447,0.459,4
790,Inner Mongolia TS79,115.565,42.195,1330,1.939166667,-18.1,18.9,1516.1,2475.1,355.54,0.442,0.463,4
791,Inner Mongolia TS80,115.505,42.115,1406,1.889166667,-17.9,18.7,1491.7,2448.2,362.81,0.431,0.474,4
792,Inner Mongolia TS81,115.325,42.045,1432,1.536666667,-17.9,18.2,1406.8,2349.8,372.88,0.41,0.494,4
793,Inner Mongolia TS82,115.325,42.045,1432,1.536666667,-17.9,18.2,1406.8,2349.8,372.88,0.41,0.494,4
794,Inner Mongolia TS83,115.275,41.855,1483,1.859166667,-17.4,18.3,1436,2387.6,382.31,0.401,0.504,4
795,Inner Mongolia TS84,115.275,41.855,1483,1.859166667,-17.4,18.3,1436,2387.6,382.31,0.401,0.504,4
796,Inner Mongolia TS85,115.275,41.855,1483,1.859166667,-17.4,18.3,1436,2387.6,382.31,0.401,0.504,4
797,Inner Mongolia TS86,115.175,41.755,1443,2.345833333,-17,18.7,1516.2,2482.9,380.11,0.412,0.494,4
798,Inner Mongolia TS87,115.015,41.635,1407,2.713333333,-16.7,19,1568.3,2545.4,379.9,0.418,0.489,4
799,Inner Mongolia TS88,111.635,41.565,1464,3.459166667,-14.7,19.8,1660.1,2645.4,302.2,0.539,0.371,4
800,Inner Mongolia TS89,111.445,41.645,1464,3.3825,-15.1,19.9,1673,2656.7,291.29,0.553,0.358,4
801,Inner Mongolia TS90,111.315,41.755,1529,3.14,-15.5,19.8,1644.5,2619.5,282.11,0.562,0.348,4
802,Inner Mongolia TS91,111.195,41.875,1485,3.215,-15.6,20.1,1672.5,2648.8,269.38,0.579,0.331,4
803,Inner Mongolia TS92,111.005,42.135,1194,4.850833333,-14.5,22.1,2020.6,3048.4,224.25,0.653,0.262,4
804,Inner Mongolia TS93,112.575,42.725,1120,4.6975,-15.4,22.7,2081.7,3107.6,196.53,0.683,0.23,4
805,Inner Mongolia TS94,112.505,42.475,1239,4.363333333,-15,21.9,1957.1,2970.6,217.5,0.655,0.258,4
806,Inner Mongolia TS95,112.365,42.345,1235,4.396666667,-14.8,21.7,1941.8,2955.8,226.01,0.645,0.268,4
807,Inner Mongolia TS96,112.265,42.215,1287,4.205,-14.7,21.3,1882.2,2890,238.53,0.628,0.285,4
808,Jiajihe,128.105,48.705,380,-0.6825,-24.8,19.6,1462.9,2356,579.96,0.046,0.952,4
809,Jiangcun,109.505,34.405,879,11.94833333,-1.7,24.4,3022.7,4425.5,671.28,0.207,0.765,4
810,Jianggao,113.105,23.355,18,21.68833333,13.3,28.8,6103.8,7928.8,1829.03,0.014,1.661,1
811,Jiangjunpaozi,117.475,42.375,1490,-0.165833333,-19.8,16.4,1119.3,2004.7,480.14,0.254,0.69,1
812,Jiangsu,119.925,33.455,2,14.06416667,0.9,26.5,3558.3,5153.7,1006.58,0.028,1.04,4
813,Jiangsu HQ98,120.235,32.255,6,14.89833333,2.3,27.2,3761.7,5457.8,1058.7,0.017,1.095,4
814,Jinggang Mt 1,114.145,26.535,754,14.88833333,4.2,24.8,3636.2,5450.5,1665.05,0.015,1.795,4
815,Jinggang Mt 2,114.145,26.535,792,14.88833333,4.2,24.8,3636.2,5450.5,1665.05,0.015,1.795,4
816,Jinggang Mt 3,114.145,26.545,1003,14.0375,3.5,23.9,3358.5,5139.8,1712.55,0.015,1.882,4
817,Jinggang Mt 4,114.145,26.535,897,14.88833333,4.2,24.8,3636.2,5450.5,1665.05,0.015,1.795,4
818,Jinggang Mt 5,114.515,26.795,169,18.04166667,6.5,28.7,4777.8,6602.8,1543.79,0.015,1.543,4
819,Jinggang Mt 6,114.515,26.795,169,18.04166667,6.5,28.7,4777.8,6602.8,1543.79,0.015,1.543,4
820,Jinxiu,110.215,24.155,1195,14.7375,6.5,21.9,3566.6,5391.6,1809.81,0.015,1.988,4
821,Jiuxian Mt,118.135,25.755,1360,15.4225,7.3,23.2,3816.3,5641.3,1747.36,0.016,1.846,4
822,Junshan,112.805,29.305,31,16.925,4.6,28.8,4373.4,6196.7,1331.6,0.015,1.372,1
823,Kaili 1,108.215,26.665,660,14.96,4.3,24.7,3662,5476.3,1151.69,0.014,1.34,4
824,Kaili 2,108.045,26.605,871,14.44,3.9,24,3490.8,5286.4,1200.09,0.015,1.417,4
825,Kaitong,123.105,44.805,148,5.565,-15.7,23.8,2343.7,3398.4,407.29,0.397,0.512,4
826,Kekexili 1,92.465,34.245,4532,-4.3,-16.8,7.2,113,677.6,292.28,0.404,0.476,4
827,Kekexili 2,92.415,34.585,4668,-5.305833333,-17.4,6.1,40.2,519.2,285.11,0.391,0.484,4
828,Kekexili 3,92.955,34.955,4657,-4.816666667,-16.5,6.3,48.7,540.4,270.06,0.421,0.455,4
829,Kekexili 4,92.445,34.225,4570,-4.206666667,-16.7,7.3,121.8,693.6,291.21,0.408,0.472,4
830,Kekexili 5,92.445,34.225,4560,-4.206666667,-16.7,7.3,121.8,693.6,291.21,0.408,0.472,4
831,Kekexili 6,92.615,34.385,4680,-5.064166667,-17.2,6.3,50.2,547.2,303.64,0.363,0.512,4
832,Kekexili 7,92.725,34.475,4632,-4.57,-16.7,6.8,78.7,610.3,291.64,0.394,0.483,4
833,Keligao,97.565,36.005,3110,2.939166667,-10.3,14.6,1023.7,1992.8,186.11,0.635,0.261,4
834,Kenli 1,118.575,37.535,100,12.56083333,-3.5,26.2,3383.5,4749,537.46,0.388,0.541,1
835,Kenli 2,118.575,37.535,100,12.56083333,-3.5,26.2,3383.5,4749,537.46,0.388,0.541,1
836,Kenli 3,118.575,37.535,100,12.56083333,-3.5,26.2,3383.5,4749,537.46,0.388,0.541,1
837,Kunlun 1,94.055,35.685,4690,-6.584166667,-18.1,4.3,0,295.8,285.98,0.351,0.516,4
838,Kunlun 2,94.325,35.775,4090,-2.334166667,-14.8,9.1,268,942.4,192.67,0.6,0.288,4
839,Kunlun Mt 01,75.805,39.605,1200,9.99,-6.4,23.5,2750,4023.8,105.05,0.812,0.11,6
840,Kunlun Mt 02,74.905,38.805,3400,1.419166667,-13.2,13.9,854.4,1775.2,148.08,0.704,0.197,6
841,Kunlun Mt 03,74.905,38.305,4070,-1.393333333,-15.7,10.8,428.6,1185.4,160.27,0.657,0.235,6
842,Kunlun Mt 04,77.405,37.705,1500,10.71083333,-5.2,23.4,2889.4,4199.1,57.37,0.865,0.059,6
843,Kunlun Mt 05,77.105,37.205,2500,3.945833333,-10.6,15.9,1294.6,2336.7,94.45,0.792,0.116,6
844,Kunlun Mt 06,77.805,36.405,3850,-1.489166667,-15.1,10,366.8,1112.3,138.7,0.684,0.206,6
845,Kunlun Mt 07,78.205,36.305,3750,0.1675,-13.8,11.9,606.2,1454.8,120.68,0.728,0.168,6
846,Kunlun Mt 08,78.705,36.205,4050,-1.694166667,-15.2,9.8,339.7,1069.4,138.52,0.682,0.207,6
847,Kunlun Mt 09,79.305,35.805,5100,-10.14583333,-21.6,0.3,0,3.2,248.46,0.302,0.538,6
848,Kunlun Mt 10,79.405,35.605,4890,-5.058333333,-17.5,6.2,34.5,500.5,170.57,0.588,0.287,6
849,Lanzhou 1,104.175,36.085,2800,5.89,-8.7,18.4,1671.2,2792.9,344.06,0.489,0.421,4
850,Lanzhou 2,104.175,36.085,3100,5.89,-8.7,18.4,1671.2,2792.9,344.06,0.489,0.421,4
851,Lanzhou 3,104.175,36.085,3600,5.89,-8.7,18.4,1671.2,2792.9,344.06,0.489,0.421,4
852,Lasha,90.995,30.425,4219,1.986666667,-9,10.9,610.9,1529.9,432.95,0.365,0.543,4
853,Lechang,113.105,25.085,775,15.81,6,24.8,3961.1,5786.1,1668.53,0.015,1.792,4
854,Liangtian,113.035,25.635,280,17.45,5.9,28.1,4561.7,6386.7,1418.8,0.014,1.474,4
855,Liangwang Mt 1,102.955,25.465,2820,12.58416667,5.8,17.6,2776.3,4601.2,988.81,0.175,1.03,4
856,Liangwang Mt 2,102.955,25.465,2725,12.58416667,5.8,17.6,2776.3,4601.2,988.81,0.175,1.03,4
857,Liangwang Mt 3,102.955,25.465,2495,12.58416667,5.8,17.6,2776.3,4601.2,988.81,0.175,1.03,4
858,Liangwang Mt 4,102.955,25.465,2295,12.58416667,5.8,17.6,2776.3,4601.2,988.81,0.175,1.03,4
859,Liangwang Mt 5,102.955,25.465,2155,12.58416667,5.8,17.6,2776.3,4601.2,988.81,0.175,1.03,4
860,Liangwang Mt z1,102.915,24.775,2495,10.8925,4.8,15.5,2163.6,3982.9,1133.29,0.135,1.216,4
861,Liangwang Mt z2,102.905,24.815,2155,12.2575,5.9,17,2656.3,4481.3,1061.69,0.161,1.099,4
862,Liangwang Mt z3,102.915,24.815,2820,12.3975,5.9,17.2,2707.5,4532.5,1054.07,0.163,1.088,4
863,Liangwang Mt z4,102.905,24.815,2295,12.2575,5.9,17,2656.3,4481.3,1061.69,0.161,1.099,4
864,Liangwang Mt z5,102.915,24.765,2725,10.53,4.5,15.1,2042.1,3850.5,1151.94,0.129,1.249,4
865,Liangwang Mt z6,102.915,24.815,2820,12.3975,5.9,17.2,2707.5,4532.5,1054.07,0.163,1.088,4
866,Lianyungang,119.185,34.805,0,13.73583333,0.1,26.1,3500.6,5034.4,831.98,0.146,0.845,4
867,Lingao,109.605,19.905,2,24.03416667,17.6,28.8,6955.4,8780.4,1656.55,0.09,1.291,4
868,Lingdingyang,113.305,22.475,-18,22.065,14,28.6,6240.4,8065.4,1831.22,0.014,1.613,5
869,Liuchanghe,106.405,26.985,1044,14.6925,4.4,24,3561.2,5377.7,1048.38,0.014,1.268,4
870,Liupanshui,105.145,26.215,1066,16.85583333,7.2,24.7,4339.7,6164.7,1192.14,0.022,1.301,4
871,Liushuwan,108.335,37.785,1448,7.5325,-9.5,22.1,2279.2,3433.2,341.33,0.527,0.39,1
