taxon_name,abbrev
Galium-type,Gal-T
Campanula-type,Cam-T
Jasione/Wahlenbergia-type,Jasione/Wahlenbergia-T
Boraginaceae,Borae
Corydalis,Cod
Valeriana clarkei/himalayana-type,V. clarkei/himalayana-T
Allium-type,All-T
Eremurus,Ere
Poaceae undifferentiated,Poac.ud
"Spores, monolete",monolete
"Spores, trilete",trilete spores
Number (No),No
Arboreal pollen,AP
Alnus,Aln
Quercus cf. Q. semecarpifolia,Que.cf.se
Quercus subgen. Cyclobalanopsis,Quercus s/g Cyclobalanopsis
Hamamelis/Parrotiopsis-type,Hamamelis/Parrotiopsis-T
Symplocos,Symplocos
Strobilanthes-type,Strobilanthes-T
Elaeagnus,Ele
Rhamnus,Rha
Sambucus,Sam
Sorbus-type,Sor-T
Cotoneaster-type,Cos-T
Potentilla-type,Pti-T
Sibbaldia,Sibbaldia
Aster-type,Ast-T
Gnaphalium-type,Gna-T
Carduus/Cirsium-type,Car/Cir-T
Anemone/Clematis-type,Anemone/Clematis-T
Polygonum polystachyum-type,P. polystachyum-T
Koenigia islandica/nepalensis-type,K. islandica/nepalensis-T
Koenigia delicatula,K. delicatula
Rheum,Rhe
Arenaria-type,Are-T
Minuartia-type,Min-T
Cerastium-type,Cer-T
Bergenia,Bergenia
Lamiaceae undifferentiated,Lam.ud
Dolichos-type,Dolichos-T
Lathyrus/Vicia-type,Lat/Vici-T
Impatiens,Imp
Apiaceae,Apiae
Anchusa-type,Anc-T
Ceratostigma,Ceratostigma
Convolvulus,Con
Physochlaina-type,Physochlaina-T
Tribulus,Tus
Osmunda,Osmu
Adiantum-type,Adi-T
Cheilanthes-type,Clt-T
Cryptogramma-type,Cryptogramma-T
Pteridium-type,Ptd-T
Pteris-type,Pte-T
Histiopteris-type,His-T
Asplenium-type,Apl-T
Athyrium filix-femina-type,A. filix-femina-T
Cystopteris fragilis-type,Cys.f-T
Dryopteris-type,Drp-T
Polystichum-type,Pls-T
Woodsia/Athyrium-type,Woodsia/Athyrium-T
Pyrrosia-type,Pyrrosia-T
Section (Sect),Sect
Sample volume [cm,Sample volume [cm
Slides counted,Slide count
Lines counted,Lines
"Marker, found",Mark found
Tablets: 1,Tablets: 1
Marker spores/tablet: 18583,Marker spores/tablet: 18583
"Marker spores/tablet, standard deviation: 1708","Marker spores/tablet, standard deviation: 1708"
Huperzia,Hup
Lycopodium/Diphasiastrum,Lycop/Diph
"Polypodiopsida, trilete spores undifferentiated",Poles trilete spore undiff
Cheilanthes,Che
Plagiogyria-type,Plagiogyria-T
"Polypodiales, monolete spores undifferentiated",Poles mono spore undiff
Dryopteris filix-mas-type,Drp.f-mT
Woodsia/Athyrium crenatum-type,W. crenatum-T
Cystopteris-type,Cys-T
Onoclea-type,Onoclea-T
Thelypteris-type,The-T
Polypodium-type,Pol-T
cf. Polypodiaceae,cf. Polypodiaceae
Pediastrum undifferentiated,Ped.ud
Pediastrum kawraiskyi,Ped.k
Pediastrum orientale,Ped.or
Pediastrum boryanum undifferentiated,P. boryanum undiff
Pediastrum boryanum var. longicorne,Ped.b.vl
Tetraedron,Tet
Debarya,Deb
Mougeotia-type,Mou-T
Spirogyra-type,Spy-t
Zygnema-type,Zyg-T
cf. Zygnema-type,cf. Zygnema-T
Scenedesmus,Sce
Coelastrum reticulatum,Coe.r
Grass epidermis fragments,Grass epid fragm
"Grass epidermis fragments, charred",Grass epid fragm char
Coniferous wood fragment with torus-margin pits,conif wood fragm with torus-margin pits
Coniferous wood fragment hyaline with torus-margin pits,conif wood fragm hyaline with torus-marg
"Sordaria, ascospore",Sordaria ascospore
"Sporomiella, individual spores",Sporomiella indivi spores
cf. Moss spore,cf.Mos.s
"Plant hair, star-like",Plant hair star-like
Indeterminata,Indet
"Filinia, resting eggs",Filinia resting eggs
"cf. Anuraeopsis, resting eggs",cf. Anuraeopsis rest egg
"Chironomidae, larval claws",Chironomidae larv claw
"Chironomidae, labia/mandibles",Chironomidae labia/mandibles
"Labia/mandibles, juvenile",Labia/mandibles juv
Chitinous spines/claws,Chitinous spines/claws
Chitinous hairs,Chit hairs
Chitinous comb,Chitinous comb
"Microfossil, vasiform",Microfos vasiform
"Microfossil, elliptic",Microfos elliptic
Arcella-type,Arc-T
Cyphoderia-type,Cyphoderia-T
Nebela-type,Nebela-T
Pinus sylvestris-type (P. sylvestris-T),P. sylvestris-T
Abies (Abies),Abies
Ephedra distachya-type (E. distachya-T),E. distachya-T
Acer (Acer),Acer
Carpinus viminea-type (C. viminea-T),C. viminea-T
Carpinus undifferentiated (Carpinus undiff),Carpinus undiff
Castanea-type (Castanea-T),Castanea-T
Corylus (Corylus),Corylus
Quercus subgen. Cyclobalanopsis (Q. subgen. Cyclobalanopsis),Q. subgen. Cyclobalanopsis
Quercus cf. semecarpifolia (Q. cf. semecarpifolia),Q. cf. semecarpifolia
Juglans (Juglans),Juglans
Salix (Salix),Salix
Elaeagnus (Elaeagnus),Elaeagnus
Hippophae (Hippophae),Hippophae
Berberis (Berberis),Berberis
Lonicera (Lonicera),Lonicera
Sorbus/Cotoneaster-type (Sorbus/Cotoneaster-T),Sorbus/Cotoneaster-T
Prunus-type (Prunus-T),Prunus-T
Potentilla/Chamaerhodos-type (Potentilla/Chamaerhodos-T),Potentilla/Chamaerhodos-T
Sibbaldia (Sibbaldia),Sibbaldia
Spiraea-type (Spiraea-T),Spiraea-T
Aster-type (Ast-T),Ast-T
Anthemis-type (Anthemis-T),Anthemis-T
Saussurea-type (Saussurea-T),Saussurea-T
Xanthium-type (Xanthium-T),Xanthium-T
Taraxacum-type (Tar-T),Tar-T
Caryophyllaceae undifferentiated (Caryophyllaceae undiff),Caryophyllaceae undiff
Minuartia-type (Minuartia-T),Minuartia-T
Cerastium-type (Cerastium-T),Cerastium-T
Silene-type (Silene-T),Silene-T
Gentiana pneumonanthe-type (G. pneumonanthe-T),G. pneumonanthe-T
Gentianella tenella-type (G. tenella-T),G. tenella-T
Swertia-type (Swertia-T),Swertia-T
Ophelia-type (Ophelia-T),Ophelia-T
Lomatogonium (Lomatogonium),Lomatogonium
Aconogonon (Aconogonon),Aconogonon
Knorringia-type (Knorringia-T),Knorringia-T
Bistorta (Bistorta),Bistorta
Rumex (Rumex),Rumex
Saxifraga androsacea/caesia-type (S. androsacea/caesia-T),S. androsacea/caesia-T
Saxifraga granulata/hirculus-type (S. granulata/hirculus-T),S. granulata/hirculus-T
Saxifraga cernua-type (S. cernua-T),S. cernua-T
Astragalus/Oxytropis-type (Astragalus/Oxytropis-T),Astragalus/Oxytropis-T
Caragana-type (Caragana-T),Caragana-T
Solanum/Physochlaina-type (Solanum/Physochlaina-T),Solanum/Physochlaina-T
Physochlaina-type (Physochlaina-T),Physochlaina-T
Scrophularia-type (Scrophularia-T),Scrophularia-T
Veronica-type (Veronica-T),Veronica-T
Rhinanthus-type (Rhinanthus-T),Rhinanthus-T
Apiaceae (Apiaceae),Apiaceae
Glaux (Glaux),Glaux
Plantago lanceolata-type (P. lanceolata-T),P. lanceolata-T
Galium-type (Galium-T),Galium-T
Urticaceae (Urticaceae),Urticaceae
Linum alpinum-type (L. alpinum-T),L. alpinum-T
Ranunculus-type (Ranunculus-T),Ranunculus-T
Anemone/Clematis-type (Anemone/Clematis-T),Anemone/Clematis-T
Cannabis-type (Cannabis-T),Cannabis-T
Boraginaceae (Boraginaceae),Boraginaceae
Biebersteinia (Biebersteinia),Biebersteinia
Allium-type (Allium-T),Allium-T
Poaceae wildgrass-type (P. wildgrass-T),P. wildgrass-T
Poaceae cereal-type (P. cereal-T),P. cereal-T
Hordeum-type (Hordeum-T),Hordeum-T
Sparganium emersum (S. emersum),S. emersum
Typha (Typha),Typha
Potamogeton (Potamogeton),Potamogeton
Dryopteris filix-mas-type (D. filix-mas-T),D. filix-mas-T
Polystichum-type (Polystichum-T),Polystichum-T
Blechnum-type (Blechnum-T),Blechnum-T
Histiopteris-type (Histiopteris-T),Histiopteris-T
Polypodium-type (Polypodium-T),Polypodium-T
Pyrrosia-type (Pyrrosia-T),Pyrrosia-T
Thelypteris-type (Thelypteris-T),Thelypteris-T
Cheilanthes (Cheilanthes),Cheilanthes
Pteridium-type (Pteridium-T),Pteridium-T
Adiantum-type (Adiantum-T),Adiantum-T
Plagiogyria-type (Plagiogyria-T),Plagiogyria-T
Equisetum (Equisetum),Equisetum
Coniferous wood fragment with torus-margin pits (conif wood fragm with torus-margin pits),conif wood fragm with torus-margin pits
"Elaeagnaceae, shield hair fragment (Elaeagnacea, shield hair fragm)","Elaeagnacea, shield hair fragm"
Chitinous spine (Chitinous spine),Chitinous spine
"Microfossil, elliptic (Microfos elliptic)",Microfos elliptic
"Chironomidae, labia/mandibles (Chironomidae labia/mandibles)",Chironomidae labia/mandibles
"Chironomidae, larval claws (Chironomidae larv claw)",Chironomidae larv claw
Indeterminata (Indet),Indet
Debarya (Debarya),Debarya
Grass epidermis fragments (Grass epid fragm),Grass epid fragm
"Grass epidermis fragments, charred (Grass epid fragm char)",Grass epid fragm char
"Gelasinospora, spore (Gelasinospora spore)",Gelasinospora spore
Cysts (Cysts),Cysts
"Pollen, corroded",Pollen corroded
"Pollen, broken",Pollen broken
"Pollen, degraded",Pollen degraded
"Pollen, concealed",Pollen concealed
"Pollen, crumpled",Pollen crumpled
Pinus subgen. Diploxylon,Pinus s/g Diplo
Pinus subgen. Haploxylon,Pinus s/g Haplo
Betula,Bet
Rosa,Ros
Spiraea,Pir
Quercus subgen. Cyclobalanopsis-type,Q. s/g Cyclobalanopsis-T
Fagus,Fag
Carpinus viminalis-type,C. viminalis-T
Castanea/Castanopsis,Castanea/Castanopsis
Tilia,Til
Rhamnaceae,Rhaae
Rhus-type,Rhu-T
Oleaceae,Oleae
Ericaceae undifferentiated,Eriae.ud
Cassiope-type,Cassiope-T
Poaceae wildgrass-type,P. wildgrass-T
Poaceae cereal-type,P. cereal-T
Chenopodiaceae/Amaranthaceae undifferentiated,Che/Amau
cf. Aerva,cf. Aerva
Cichorioideae undifferentiated,Cichorioideae undiff
Hieracium-type,Hie-T
Taraxacum-type,Tar-T
Polygonum aviculare-type,Pol.i-T
Polygonum cognatum/molliaeforme-type,P. cognat/molliaef-T
Polygonum polycnemoides-type,P. polycnemoides-T
Knorringia,Knorringia
Ranunculus aquatilis-type,Rau.a-T
Gentiana verna-type,Gea.v-T
Chamaerhodos-type,Chamaerhodos-T
Silene vulgaris-type,Sil.v-T
Gypsophila,Gyp
Primula clusiana/hirsuta-type,P. clusiana/hirsuta-T
Primula/Linaria-type,Primula/Linaria-T
