taxon_name,eco_group,family_level
Amaranthaceae,HERB,Amaranthaceae
Amaranthaceae/Chenopodiaceae,HERB,Amaranthaceae
Amaranthus,HERB,Amaranthaceae
Amaryllidaceae,HERB,Amaryllidaceae
Amblys-eae,MOSS,delete
Ambrosia,HERB,Asteraceae
Ambrosia artemisiifolia-type,HERB,Asteraceae
Ambrosia t.,HERB,Asteraceae
Ambrosia type,HERB,Asteraceae
Ambrosia type: Xanthium,HERB,Asteraceae
Ambrosia-type,HERB,Asteraceae
Ammi-type,HERB,Apiaceae
Amorpha fruticosa,TRSH,Fabaceae
Amphitrema,RHIZ,delete
Amphitrema flavum,RHIZ,delete
Anabaena,NOPO,delete
Anabaena,CYAN,delete
Anacardiaceae,TRSH,Anacardiaceae
Anacardiaceae (other),NA,Anacardiaceae
Anagallis,HERB,Primulaceae
Anagallis arvensis,HERB,Primulaceae
Anagallis arvensis type,HERB,Primulaceae
Anagallis arvensis-type,HERB,Primulaceae
Anagallis tenella,HERB,Primulaceae
Anagallis tenella type,HERB,Primulaceae
Anagallis type,HERB,Primulaceae
Analysed lines,NOPO,delete
Analyst (Analyst),NA,delete
Anchusa,HERB,Boraginaceae
Anchusa arvensis,HERB,Boraginaceae
Anchusa officinalis,HERB,Boraginaceae
Anchusa-type,HERB,Boraginaceae
Andrachne,DWAR,Phyllanthaceae
Andrachne telephioides,DWAR,Phyllanthaceae
Andromeda,DWAR,Ericaceae
Androsace,HERB,Primulaceae
Androsace-type,HERB,Primulaceae
Androsaceae,HERB,Primulaceae
Anemone,HERB,Ranunculaceae
Anemone hortensis,HERB,Ranunculaceae
Anemone nemorosa,HERB,Ranunculaceae
Anemone nemorosa-type,HERB,Ranunculaceae
Anemone nemorosa-type/Hepatica nobilis,HERB,Ranunculaceae
Anemone nemorosa/ranunculoides,HERB,Ranunculaceae
Anemone typ,HERB,Ranunculaceae
Anemone type,HERB,Ranunculaceae
Anemone-type,HERB,Ranunculaceae
Anemone/Clematis-type,HERB,Ranunculaceae
Anemone/Clematis-type (Anemone/Clematis-T),NA,Ranunculaceae
Anemone/Pulsatilla-type,HERB,Ranunculaceae
Anethum,HERB,Apiaceae
Anethum graveolens,HERB,Apiaceae
Anethum-type,HERB,Apiaceae
Angelica,HERB,Apiaceae
Angelica tp.,HERB,Apiaceae
Angelica-type,HERB,Apiaceae
Anisosciadium-type,HERB,Apiaceae
Annonaceae,NA,Annonaceae
Anogramma leptophylla,VACR,delete
Anphitrema,RHIZ,delete
Antennaria,HERB,Asteraceae
Antennaria-type,HERB,Asteraceae
Anthemidae,HERB,Asteraceae
Anthemideae,HERB,Asteraceae
Anthemis,HERB,Asteraceae
Anthemis  type,HERB,Asteraceae
Anthemis typ,HERB,Asteraceae
Anthemis type,HERB,Asteraceae
Anthemis-type,HERB,Asteraceae
Anthemis-type (Anthemis-T),NA,Asteraceae
Anthemis/Achillea-type,HERB,Asteraceae
Anthericum,HERB,Asparagaceae
Anthericum-type,HERB,Asparagaceae
Anthoceros,BRYO,delete
Anthoceros laevis,BRYO,delete
Anthoceros punctatus,BRYO,delete
Anthostomella fuegiana,FUNG,delete
Anthoxanthum,HERB,Poaceae
Anthriscus sylvestris,HERB,Apiaceae
Anthriscus sylvestris-type,HERB,Apiaceae
Anthriscus-type,HERB,Apiaceae
Anthyllis,HERB,Fabaceae
Antirrhinum-type,HERB,Plantaginaceae
Antirrhinum/Linaria,HERB,Plantaginaceae
Anuraeopsis fissa,ROTI,delete
Anus,TRSH,Betulaceae
Aphanes,HERB,Rosaceae
Aphanes-type,HERB,Rosaceae
Apiaceae,HERB,Apiaceae
Apiaceae (Apiaceae),NA,Apiaceae
Apiaceae indet.,HERB,Apiaceae
Apiaceae small,HERB,Apiaceae
Apiaceae types 2&3,HERB,Apiaceae
Apiaceae undiff.,HERB,Apiaceae
Apiaceae undifferentiated,HERB,Apiaceae
"Apiaceae, Astoma",HERB,Apiaceae
"Apiaceae, Bupleurum",HERB,Apiaceae
"Apiaceae, Eryngium",HERB,Apiaceae
"Apiaceae, Ferula",HERB,Apiaceae
"Apiaceae, Heracleum",HERB,Apiaceae
"Apiaceae, Pimpinella",HERB,Apiaceae
"Apiaceae, Torilis type",HERB,Apiaceae
Apium inundatum type,HERB,Apiaceae
Apium inundatum-type,AQUA,Apiaceae
Apium inundatum-type,HERB,Apiaceae
Apium-type,HERB,Apiaceae
Apium/Berula,HERB,Apiaceae
Apocynaceae (other),NA,Apocynaceae
Aquatic remains unidentified,INUN,delete
Aquatics,INUN,delete
Aquifoliaceae,NA,Aquifoliaceae
Aquilegia,HERB,Ranunculaceae
Aquilegia type,HERB,Ranunculaceae
Aquilegia-type,HERB,Ranunculaceae
Arabidopsis,HERB,Brassicaceae
Araceae,HERB,Araceae
Aralia,TRSH,Araliaceae
Araliaceae,TRSH,Araliaceae
Arboreal pollen,NA,delete
